timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1390589876.15,-0.0016,0.0132,0.0048,0.4094,0.2574,0.4714,0.579750346740638,0.2524271844660194,-0.6685159500693482
1390589876.16,-0.0016,0.013,0.0048,0.4094,0.2574,0.4714,0.579750346740638,0.27461858529819694,-0.6740638002773925
1390589876.17,-0.0016,0.013,0.0048,0.4094,0.2572,0.4714,0.5769764216366158,0.29680998613037446,-0.6629680998613038
1390589876.17,-0.0016,0.013,0.0048,0.4094,0.2574,0.4714,0.5769764216366158,0.29680998613037446,-0.6629680998613038
1390589876.18,-0.0016,0.013,0.005,0.4092,0.2574,0.4712,0.5603328710124826,0.2829403606102635,-0.6823855755894591
1390589876.18,-0.0016,0.013,0.005,0.4094,0.2572,0.4712,0.5603328710124826,0.2829403606102635,-0.6823855755894591
1390589876.19,-0.0016,0.013,0.005,0.4094,0.2572,0.4714,0.5769764216366158,0.2857142857142857,-0.6601941747572816
1390589876.2,-0.0014,0.013,0.005,0.4094,0.2572,0.4714,0.5769764216366158,0.2857142857142857,-0.6601941747572816
1390589876.2,-0.0016,0.013,0.005,0.4094,0.2574,0.4716,0.5769764216366158,0.2857142857142857,-0.6601941747572816
1390589876.21,-0.0014,0.013,0.0048,0.4094,0.2574,0.4718,0.5742024965325936,0.2635228848821082,-0.6712898751733704
1390589876.24,-0.0014,0.0132,0.0048,0.4094,0.2574,0.4718,0.5686546463245492,0.2801664355062413,-0.6823855755894591
1390589876.25,-0.0016,0.013,0.0048,0.4094,0.2576,0.4718,0.5686546463245492,0.2801664355062413,-0.6823855755894591
1390589876.26,-0.0016,0.013,0.005,0.4094,0.2574,0.4718,0.5714285714285714,0.27461858529819694,-0.651872399445215
1390589876.27,-0.0016,0.013,0.0048,0.4096,0.2574,0.4716,0.5714285714285714,0.27461858529819694,-0.651872399445215
1390589876.27,-0.0016,0.0128,0.0048,0.4094,0.2574,0.4718,0.579750346740638,0.26907073509015256,-0.6546463245492372
1390589876.28,-0.0016,0.0128,0.0048,0.4094,0.2576,0.4716,0.579750346740638,0.26907073509015256,-0.6546463245492372
1390589876.29,-0.0014,0.0128,0.0048,0.4094,0.2574,0.4716,0.5742024965325936,0.27184466019417475,-0.6712898751733704
1390589876.29,-0.0016,0.013,0.0048,0.4094,0.2574,0.4718,0.5742024965325936,0.27184466019417475,-0.6712898751733704
1390589876.3,-0.0014,0.0128,0.0048,0.4094,0.2574,0.4716,0.565880721220527,0.26907073509015256,-0.6879334257975035
1390589876.3,-0.0014,0.0128,0.0048,0.4094,0.2574,0.4714,0.565880721220527,0.26907073509015256,-0.6879334257975035
1390589876.31,-0.0014,0.0128,0.0048,0.4092,0.2572,0.4716,0.5714285714285714,0.29680998613037446,-0.6851595006934813
1390589876.32,-0.0014,0.0128,0.005,0.4094,0.2574,0.4714,0.5714285714285714,0.29680998613037446,-0.6851595006934813
1390589876.32,-0.0014,0.0128,0.0048,0.4094,0.2574,0.4716,0.5714285714285714,0.29680998613037446,-0.6851595006934813
1390589876.33,-0.0016,0.013,0.005,0.4096,0.2574,0.4716,0.5908460471567267,0.27461858529819694,-0.6796116504854369
1390589876.34,-0.0016,0.013,0.005,0.4094,0.2574,0.4716,0.5742024965325936,0.2857142857142857,-0.6768377253814147
1390589876.35,-0.0018,0.013,0.0048,0.4096,0.2574,0.4716,0.5742024965325936,0.2857142857142857,-0.6768377253814147
1390589876.35,-0.0018,0.013,0.005,0.4094,0.2572,0.4714,0.5631067961165048,0.27184466019417475,-0.6685159500693482
1390589876.36,-0.0018,0.013,0.005,0.4094,0.2574,0.4714,0.5631067961165048,0.27184466019417475,-0.6685159500693482
1390589876.37,-0.0018,0.013,0.005,0.4094,0.2574,0.4716,0.5880721220527045,0.27184466019417475,-0.6823855755894591
1390589876.38,-0.0018,0.013,0.005,0.4094,0.2574,0.4714,0.5631067961165048,0.2884882108183079,-0.6823855755894591
1390589876.38,-0.0016,0.013,0.005,0.4094,0.2572,0.4716,0.5631067961165048,0.2884882108183079,-0.6823855755894591
1390589876.39,-0.0016,0.013,0.005,0.4096,0.2574,0.4716,0.5631067961165048,0.2884882108183079,-0.6823855755894591
1390589876.39,-0.0014,0.013,0.005,0.4094,0.2574,0.4714,0.579750346740638,0.29403606102635227,-0.6740638002773925
1390589876.4,-0.0014,0.013,0.0048,0.4094,0.2574,0.4716,0.579750346740638,0.29403606102635227,-0.6740638002773925
1390589876.4,-0.0014,0.0128,0.0048,0.4092,0.2574,0.4714,0.5742024965325936,0.2829403606102635,-0.6962552011095701
1390589876.41,-0.0014,0.0128,0.005,0.4094,0.2574,0.4716,0.5742024965325936,0.2829403606102635,-0.6962552011095701
1390589876.42,-0.0016,0.0128,0.0048,0.4094,0.2572,0.4716,0.5852981969486823,0.27184466019417475,-0.665742024965326
1390589876.43,-0.0016,0.013,0.0048,0.4094,0.2574,0.4714,0.5880721220527045,0.27461858529819694,-0.6823855755894591
1390589876.45,-0.0014,0.0128,0.0048,0.4094,0.2576,0.4718,0.5880721220527045,0.27461858529819694,-0.6823855755894591
1390589876.46,-0.0016,0.013,0.0048,0.4094,0.2574,0.4718,0.5631067961165048,0.27739251040221913,-0.6962552011095701
1390589876.47,-0.0014,0.013,0.0048,0.4094,0.2574,0.4718,0.579750346740638,0.26629680998613037,-0.6823855755894591
1390589876.48,-0.0016,0.013,0.0046,0.4096,0.2576,0.4718,0.579750346740638,0.26629680998613037,-0.6823855755894591
1390589876.49,-0.0014,0.013,0.0048,0.4096,0.2574,0.4718,0.5769764216366158,0.260748959778086,-0.665742024965326
1390589876.49,-0.0014,0.0128,0.0048,0.4092,0.2574,0.4716,0.565880721220527,0.26907073509015256,-0.6879334257975035
1390589876.5,-0.0014,0.013,0.0048,0.4094,0.2574,0.4718,0.565880721220527,0.26907073509015256,-0.6879334257975035
1390589876.51,-0.0014,0.0128,0.0048,0.4094,0.2574,0.4716,0.565880721220527,0.26907073509015256,-0.6879334257975035
1390589876.51,-0.0014,0.0128,0.0046,0.4094,0.2574,0.4716,0.5575589459084604,0.27739251040221913,-0.6740638002773925
1390589876.52,-0.0014,0.0128,0.0046,0.4094,0.2574,0.4718,0.5575589459084604,0.27739251040221913,-0.6740638002773925
1390589876.52,-0.0014,0.013,0.0046,0.4094,0.2574,0.4716,0.5769764216366158,0.260748959778086,-0.6740638002773925
1390589876.53,-0.0014,0.0128,0.0046,0.4096,0.2576,0.4716,0.5769764216366158,0.260748959778086,-0.6740638002773925
1390589876.54,-0.0014,0.0128,0.0046,0.4094,0.2574,0.4714,0.5742024965325936,0.2801664355062413,-0.6629680998613038
1390589876.54,-0.0012,0.0128,0.0046,0.4096,0.2574,0.4716,0.5742024965325936,0.2801664355062413,-0.6629680998613038
1390589876.55,-0.0014,0.0128,0.0046,0.4094,0.2574,0.4716,0.5852981969486823,0.2857142857142857,-0.6685159500693482
1390589876.55,-0.0012,0.0126,0.0048,0.4096,0.2574,0.4714,0.5852981969486823,0.2857142857142857,-0.6685159500693482
1390589876.56,-0.0012,0.0128,0.0048,0.4094,0.2574,0.4716,0.5742024965325936,0.2552011095700416,-0.665742024965326
