timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1391560622.62,-0.0986,0.0606,0.0206,0.4512,0.3478,0.5666,-0.2857142857142857,1.2288488210818307,0.6990291262135923
1391560622.62,-0.1034,0.0638,0.0218,0.4534,0.3562,0.5628,-0.2857142857142857,1.2288488210818307,0.6990291262135923
1391560622.63,-0.1064,0.0662,0.0242,0.4548,0.3618,0.5602,-0.3106796116504854,1.203883495145631,0.7434119278779473
1391560622.64,-0.1084,0.066,0.0274,0.4568,0.3636,0.5582,-0.3106796116504854,1.203883495145631,0.7434119278779473
1391560622.64,-0.11,0.0632,0.0302,0.459,0.3634,0.5568,-0.3106796116504854,1.203883495145631,0.7434119278779473
1391560622.65,-0.111,0.0584,0.0326,0.4606,0.3638,0.555,-0.3356449375866852,1.1567267683772537,0.7600554785020804
1391560622.65,-0.1116,0.0526,0.034,0.4634,0.365,0.5534,-0.3356449375866852,1.1567267683772537,0.7600554785020804
1391560622.66,-0.1112,0.0456,0.0348,0.4674,0.3654,0.5526,-0.3800277392510402,1.0901525658807212,0.7850208044382802
1391560622.67,-0.1096,0.0374,0.0356,0.4712,0.3652,0.5518,-0.3800277392510402,1.0901525658807212,0.7850208044382802
1391560622.67,-0.1052,0.0276,0.0364,0.472,0.3644,0.5508,-0.43273231622746183,1.0624133148404993,0.8155339805825242
1391560622.68,-0.0984,0.0162,0.0362,0.472,0.3624,0.5506,-0.43273231622746183,1.0624133148404993,0.8155339805825242
1391560622.68,-0.09,0.0028,0.0348,0.473,0.3628,0.5514,-0.43273231622746183,1.0402219140083218,0.8321775312066574
1391560622.69,-0.0812,-0.012,0.0318,0.474,0.3604,0.5532,-0.43273231622746183,1.0402219140083218,0.8321775312066574
1391560622.7,-0.0718,-0.029,0.028,0.4736,0.3516,0.5546,-0.44382801664355065,0.9819694868238558,0.8654646324549237
1391560622.7,-0.0632,-0.0456,0.0222,0.4738,0.3408,0.5604,-0.44382801664355065,0.9819694868238558,0.8654646324549237
1391560622.71,-0.0558,-0.0584,0.0152,0.474,0.332,0.566,-0.44382801664355065,0.9819694868238558,0.8654646324549237
1391560622.71,-0.0506,-0.0648,0.0074,0.475,0.3294,0.5698,-0.47156726768377255,0.9625520110957004,0.8793342579750347
1391560622.72,-0.047,-0.0638,0.0002,0.476,0.3342,0.572,-0.47156726768377255,0.9625520110957004,0.8793342579750347
1391560622.73,-0.0442,-0.0574,-0.0064,0.4782,0.3414,0.574,-0.507628294036061,0.8987517337031901,0.8793342579750347
1391560622.73,-0.0408,-0.0484,-0.0116,0.481,0.3466,0.5758,-0.507628294036061,0.8987517337031901,0.8793342579750347
1391560622.74,-0.0356,-0.0392,-0.0156,0.4828,0.3488,0.5738,-0.5270457697642164,0.8682385575589459,0.9042995839112344
1391560622.74,-0.0278,-0.0302,-0.0182,0.4836,0.3512,0.5684,-0.5270457697642164,0.8682385575589459,0.9042995839112344
1391560622.75,-0.0174,-0.0214,-0.0198,0.4806,0.3536,0.5628,-0.5270457697642164,0.8626907073509015,0.8848821081830791
1391560622.76,-0.0054,-0.0126,-0.0208,0.4734,0.3566,0.5578,-0.5270457697642164,0.8626907073509015,0.8848821081830791
1391560622.76,0.006,-0.0048,-0.0222,0.4648,0.359,0.552,-0.5270457697642164,0.8626907073509015,0.8848821081830791
1391560622.77,0.0142,0.001,-0.025,0.4566,0.361,0.5454,-0.521497919556172,0.8349514563106796,0.9098474341192788
1391560622.77,0.0178,0.0044,-0.029,0.4508,0.3626,0.54,-0.521497919556172,0.8349514563106796,0.9098474341192788
1391560622.78,0.0166,0.0054,-0.0334,0.4478,0.3634,0.5372,-0.5492371705963939,0.7905686546463245,0.9098474341192788
1391560622.79,0.0116,0.0036,-0.0378,0.4462,0.363,0.5352,-0.5492371705963939,0.7905686546463245,0.9098474341192788
1391560622.79,0.0038,-0.0016,-0.0426,0.445,0.3618,0.5334,-0.5520110957004161,0.812760055478502,0.926490984743412
1391560622.8,-0.007,-0.0094,-0.0472,0.4444,0.361,0.5324,-0.5520110957004161,0.812760055478502,0.926490984743412
1391560622.8,-0.0204,-0.0196,-0.0516,0.4452,0.3596,0.533,-0.5769764216366158,0.7711511789181692,0.9098474341192788
1391560622.81,-0.0366,-0.0314,-0.056,0.4516,0.3568,0.537,-0.5769764216366158,0.7711511789181692,0.9098474341192788
1391560622.82,-0.055,-0.044,-0.06,0.4654,0.3486,0.5478,-0.5686546463245492,0.7572815533980582,0.912621359223301
1391560622.82,-0.0714,-0.0556,-0.0636,0.4828,0.3378,0.5616,-0.5686546463245492,0.7572815533980582,0.912621359223301
1391560622.83,-0.0794,-0.0636,-0.0662,0.4958,0.3294,0.5672,-0.5686546463245492,0.7572815533980582,0.912621359223301
1391560622.83,-0.0746,-0.0644,-0.0662,0.4964,0.329,0.5684,-0.565880721220527,0.723994452149792,0.9375866851595007
1391560622.84,-0.0578,-0.0612,-0.0634,0.4862,0.3352,0.5658,-0.565880721220527,0.723994452149792,0.9375866851595007
1391560622.84,-0.0426,-0.0536,-0.0608,0.4738,0.3442,0.5618,-0.5714285714285714,0.7545076282940361,0.9292649098474342
1391560622.85,-0.0194,-0.0456,-0.0572,0.4648,0.352,0.5586,-0.5714285714285714,0.7545076282940361,0.9292649098474342
1391560622.86,-0.0004,-0.0398,-0.055,0.461,0.357,0.556,-0.579750346740638,0.7212205270457698,0.9375866851595007
1391560622.86,0.0114,-0.0376,-0.0546,0.4612,0.359,0.5526,-0.579750346740638,0.7212205270457698,0.9375866851595007
1391560622.87,0.0166,-0.0376,-0.056,0.4612,0.3606,0.5482,-0.5769764216366158,0.7128987517337032,0.9486823855755895
1391560622.87,0.016,-0.0392,-0.0584,0.4606,0.363,0.5444,-0.5769764216366158,0.7128987517337032,0.9486823855755895
1391560622.88,0.0106,-0.0418,-0.0616,0.4614,0.3654,0.5414,-0.5769764216366158,0.7128987517337032,0.9486823855755895
1391560622.89,0.0024,-0.0454,-0.0658,0.4578,0.3672,0.538,-0.579750346740638,0.7184466019417476,0.9486823855755895
1391560622.89,-0.0092,-0.0508,-0.0704,0.4612,0.3736,0.5346,-0.579750346740638,0.7184466019417476,0.9486823855755895
1391560622.9,-0.0224,-0.0592,-0.0756,0.456,0.3768,0.5258,-0.5742024965325936,0.6768377253814147,0.970873786407767
1391560622.9,-0.0358,-0.0698,-0.082,0.4486,0.3798,0.519,-0.5742024965325936,0.6768377253814147,0.970873786407767
1391560622.91,-0.0562,-0.083,-0.0878,0.4464,0.378,0.5204,-0.579750346740638,0.6990291262135923,0.9597780859916782
1391560622.92,-0.0864,-0.0976,-0.0936,0.4588,0.3668,0.5334,-0.579750346740638,0.6990291262135923,0.9597780859916782
1391560622.92,-0.121,-0.1112,-0.1,0.4818,0.3492,0.5494,-0.5963938973647711,0.6962552011095701,0.9597780859916782
1391560622.93,-0.1488,-0.1192,-0.1052,0.5,0.3334,0.5584,-0.5963938973647711,0.6962552011095701,0.9597780859916782
1391560622.93,-0.1612,-0.116,-0.108,0.5068,0.329,0.5594,-0.5742024965325936,0.6823855755894591,0.9514563106796117
1391560622.94,-0.1576,-0.102,-0.1066,0.503,0.339,0.5564,-0.5742024965325936,0.6823855755894591,0.9514563106796117
1391560622.95,-0.141,-0.0828,-0.1024,0.4906,0.3534,0.5536,-0.5742024965325936,0.6823855755894591,0.9514563106796117
1391560622.96,-0.0954,-0.0584,-0.1,0.4662,0.3616,0.5516,-0.579750346740638,0.6907073509015257,0.9542302357836339
1391560622.96,-0.08,-0.0564,-0.1024,0.4652,0.3582,0.5504,-0.5852981969486823,0.6823855755894591,0.957004160887656
1391560622.97,-0.0708,-0.0584,-0.1056,0.4682,0.355,0.5502,-0.5852981969486823,0.6823855755894591,0.957004160887656
1391560622.98,-0.0656,-0.0616,-0.1088,0.4682,0.3546,0.549,-0.579750346740638,0.6629680998613038,0.9680998613037448
1391560622.98,-0.0626,-0.0646,-0.1122,0.4648,0.3576,0.546,-0.579750346740638,0.6629680998613038,0.9680998613037448
1391560622.99,-0.0612,-0.0678,-0.1158,0.4582,0.3622,0.5406,-0.5769764216366158,0.6796116504854369,0.9819694868238558
1391560622.99,-0.0622,-0.0728,-0.1192,0.4512,0.3676,0.5342,-0.5769764216366158,0.6796116504854369,0.9819694868238558
1391560623.01,-0.0788,-0.0912,-0.1248,0.4454,0.3746,0.5234,-0.5936199722607489,0.6851595006934813,0.9930651872399445
1391560623.01,-0.0954,-0.105,-0.127,0.446,0.375,0.5208,-0.5936199722607489,0.6851595006934813,0.9930651872399445
1391560623.02,-0.1172,-0.1212,-0.1292,0.4472,0.3702,0.5182,-0.579750346740638,0.6823855755894591,0.9902912621359223
1391560623.02,-0.1446,-0.1384,-0.13,0.463,0.364,0.5308,-0.579750346740638,0.6823855755894591,0.9902912621359223
1391560623.03,-0.172,-0.1528,-0.1298,0.4828,0.353,0.5456,-0.5686546463245492,0.6463245492371706,0.970873786407767
1391560623.04,-0.1926,-0.1648,-0.1276,0.501,0.3414,0.5582,-0.5686546463245492,0.6463245492371706,0.970873786407767
1391560623.04,-0.1998,-0.1714,-0.1238,0.5094,0.3326,0.5602,-0.5852981969486823,0.6435506241331485,0.9958391123439667
1391560623.05,-0.193,-0.1702,-0.1192,0.5068,0.3306,0.5558,-0.5852981969486823,0.6435506241331485,0.9958391123439667
1391560623.05,-0.1766,-0.161,-0.1144,0.496,0.337,0.5494,-0.5852981969486823,0.6324549237170597,1.0263522884882108
1391560623.06,-0.1566,-0.1472,-0.1112,0.4852,0.3484,0.5442,-0.5852981969486823,0.6324549237170597,1.0263522884882108
1391560623.07,-0.1388,-0.1336,-0.1094,0.4772,0.3594,0.5408,-0.5852981969486823,0.6324549237170597,1.0263522884882108
1391560623.07,-0.1262,-0.1242,-0.1084,0.4734,0.366,0.5402,-0.579750346740638,0.6574202496532594,1.0124826629680999
1391560623.08,-0.116,-0.1222,-0.1082,0.4744,0.359,0.5424,-0.5742024965325936,0.6269070735090153,1.0069348127600555
1391560623.09,-0.1136,-0.127,-0.1086,0.4732,0.3512,0.5424,-0.5742024965325936,0.6269070735090153,1.0069348127600555
1391560623.09,-0.1128,-0.1334,-0.1098,0.4694,0.3454,0.5414,-0.5769764216366158,0.6130374479889042,1.0180305131761442
1391560623.1,-0.1136,-0.1392,-0.1118,0.4644,0.3428,0.5394,-0.5769764216366158,0.6130374479889042,1.0180305131761442
1391560623.11,-0.1176,-0.1436,-0.1144,0.4606,0.3412,0.537,-0.5714285714285714,0.6185852981969486,1.0180305131761442
1391560623.11,-0.1266,-0.1478,-0.117,0.4606,0.3386,0.5362,-0.5714285714285714,0.6185852981969486,1.0180305131761442
1391560623.12,-0.1406,-0.1526,-0.1198,0.4644,0.3276,0.535,-0.5908460471567267,0.5825242718446602,1.0346740638002774
1391560623.12,-0.1604,-0.1598,-0.1192,0.4698,0.3206,0.5398,-0.5908460471567267,0.5825242718446602,1.0346740638002774
1391560623.13,-0.1848,-0.1702,-0.1124,0.477,0.2678,0.5232,-0.5908460471567267,0.5825242718446602,1.0346740638002774
1391560623.14,-0.2208,-0.1906,-0.0822,0.459,0.2948,0.5262,-0.5991678224687933,0.5631067961165048,1.0180305131761442
1391560623.17,-0.2694,-0.1618,-0.0542,0.5072,0.3252,0.5446,-0.6435506241331485,0.5464632454923717,1.0069348127600555
1391560623.17,-0.242,-0.1544,-0.0496,0.495,0.327,0.532,-0.651872399445215,0.5270457697642164,1.015256588072122
1391560623.18,-0.213,-0.1438,-0.0498,0.489,0.3316,0.5238,-0.651872399445215,0.5270457697642164,1.015256588072122
1391560623.19,-0.1802,-0.1304,-0.0474,0.4818,0.3422,0.5152,-0.6463245492371706,0.5048543689320388,0.9736477115117892
1391560623.2,-0.182,-0.1302,-0.0402,0.4822,0.3572,0.5224,-0.6463245492371706,0.5048543689320388,0.9736477115117892
1391560623.2,-0.185,-0.1332,-0.0412,0.4904,0.3594,0.5266,-0.6574202496532594,0.5159500693481276,0.957004160887656
1391560623.21,-0.1846,-0.143,-0.0474,0.4978,0.3504,0.5252,-0.6574202496532594,0.5159500693481276,0.957004160887656
1391560623.21,-0.1814,-0.1592,-0.0504,0.4998,0.3394,0.5194,-0.6740638002773925,0.49375866851595007,0.9930651872399445
1391560623.22,-0.179,-0.179,-0.05,0.5014,0.329,0.5162,-0.6740638002773925,0.49375866851595007,0.9930651872399445
1391560623.23,-0.1772,-0.1986,-0.0508,0.5042,0.3182,0.5164,-0.6796116504854369,0.4854368932038835,0.984743411927878
1391560623.23,-0.173,-0.2152,-0.0544,0.5074,0.3098,0.5198,-0.6796116504854369,0.4854368932038835,0.984743411927878
1391560623.24,-0.1638,-0.2284,-0.0576,0.5074,0.3038,0.5236,-0.6962552011095701,0.46879334257975036,1.0097087378640777
1391560623.24,-0.149,-0.237,-0.057,0.5032,0.3026,0.5244,-0.6962552011095701,0.46879334257975036,1.0097087378640777
1391560623.25,-0.1314,-0.2416,-0.0528,0.4954,0.3044,0.522,-0.6962552011095701,0.46879334257975036,1.0097087378640777
1391560623.26,-0.1154,-0.2416,-0.0464,0.4844,0.3056,0.5188,-0.6934812760055479,0.4521497919556172,1.001386962552011
1391560623.26,-0.106,-0.2366,-0.0396,0.4764,0.3068,0.5172,-0.6934812760055479,0.4521497919556172,1.001386962552011
1391560623.27,-0.1056,-0.2272,-0.0318,0.473,0.3094,0.5152,-0.7018030513176144,0.4160887656033287,1.015256588072122
1391560623.27,-0.112,-0.2142,-0.023,0.4762,0.3166,0.5134,-0.7018030513176144,0.4160887656033287,1.015256588072122
1391560623.28,-0.1218,-0.1992,-0.014,0.4816,0.3246,0.5122,-0.7018030513176144,0.42441054091539526,0.9875173370319001
1391560623.29,-0.131,-0.1842,-0.0058,0.486,0.3316,0.5114,-0.7018030513176144,0.42441054091539526,0.9875173370319001
1391560623.3,-0.1438,-0.1612,0.0096,0.4938,0.3312,0.505,-0.710124826629681,0.3800277392510402,0.9958391123439667
1391560623.31,-0.1428,-0.163,0.0122,0.4964,0.3254,0.5006,-0.7184466019417476,0.36893203883495146,0.9680998613037448
1391560623.32,-0.139,-0.1672,0.0138,0.4908,0.316,0.495,-0.7184466019417476,0.36893203883495146,0.9680998613037448
1391560623.32,-0.1374,-0.1698,0.0162,0.4814,0.308,0.4926,-0.723994452149792,0.3606102635228849,0.9958391123439667
1391560623.33,-0.1408,-0.1726,0.0182,0.4778,0.3024,0.4982,-0.723994452149792,0.3606102635228849,0.9958391123439667
1391560623.33,-0.1536,-0.1728,0.0212,0.4888,0.294,0.5114,-0.7628294036061026,0.3550624133148405,0.970873786407767
1391560623.34,-0.1714,-0.169,0.0234,0.519,0.286,0.5276,-0.7628294036061026,0.3550624133148405,0.970873786407767
1391560623.35,-0.1802,-0.1612,0.0286,0.5386,0.2808,0.5348,-0.7572815533980582,0.31900138696255204,0.9403606102635229
1391560623.36,-0.1356,-0.1324,0.0448,0.5176,0.2816,0.5102,-0.782246879334258,0.30513176144244103,0.970873786407767
1391560623.39,-0.0566,-0.0112,0.0754,0.5278,0.326,0.4928,-0.7877947295423023,0.31345353675450766,0.9514563106796117
1391560623.4,-0.0526,-0.0092,0.0756,0.5338,0.3244,0.4948,-0.7877947295423023,0.30235783633841884,0.9403606102635229
1391560623.41,-0.041,-0.0122,0.0746,0.5334,0.3202,0.4986,-0.7877947295423023,0.30235783633841884,0.9403606102635229
1391560623.41,-0.021,-0.0186,0.0754,0.5252,0.3146,0.5016,-0.7988904299583911,0.26907073509015256,0.9431345353675451
1391560623.42,0.029,-0.0364,0.0852,0.5028,0.3022,0.504,-0.7988904299583911,0.26907073509015256,0.9431345353675451
1391560623.43,0.049,-0.0434,0.0918,0.4956,0.2968,0.5038,-0.7933425797503467,0.24687933425797504,0.9680998613037448
1391560623.43,0.0618,-0.0466,0.098,0.493,0.29,0.506,-0.7933425797503467,0.24687933425797504,0.9680998613037448
1391560623.44,0.0672,-0.0448,0.104,0.4962,0.2814,0.5098,-0.782246879334258,0.24410540915395285,0.9791955617198336
1391560623.45,0.068,-0.0372,0.1102,0.5006,0.2772,0.511,-0.782246879334258,0.24410540915395285,0.9791955617198336
1391560623.45,0.0684,-0.024,0.1168,0.5034,0.278,0.5078,-0.8016643550624133,0.21914008321775313,0.9986130374479889
1391560623.46,0.0736,0.0134,0.1266,0.5054,0.2814,0.5048,-0.7766990291262136,0.2302357836338419,0.9791955617198336
1391560623.47,0.0768,0.0332,0.1336,0.505,0.2844,0.5046,-0.7766990291262136,0.2302357836338419,0.9791955617198336
1391560623.48,0.0776,0.0516,0.1424,0.5078,0.289,0.5048,-0.782246879334258,0.19972260748959778,0.9680998613037448
1391560623.48,0.0768,0.0682,0.1504,0.511,0.2932,0.5042,-0.782246879334258,0.19972260748959778,0.9680998613037448
1391560623.49,0.0766,0.083,0.1568,0.5114,0.2964,0.5028,-0.782246879334258,0.19972260748959778,0.9680998613037448
