timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1386186007.83,0.393,0.4826,0.557,0.0256,0.0008,0.0204,-0.0308,0.0722222222222,0.483333333333,1.32777777778
1386186007.83,0.3938,0.4832,0.5578,0.026,0.0016,0.021,-0.0308,0.0722222222222,0.483333333333,1.32777777778
1386186007.84,0.3942,0.484,0.5578,0.0262,0.0024,0.0212,-0.0308,0.0722222222222,0.483333333333,1.32777777778
1386186007.84,0.3944,0.4846,0.558,0.0266,0.003,0.0212,-0.0294,0.0916666666667,0.480555555556,1.33611111111
1386186007.85,0.3954,0.4852,0.5598,0.0266,0.003,0.0214,-0.0294,0.0916666666667,0.480555555556,1.33611111111
1386186007.86,0.3956,0.4846,0.5606,0.0266,0.0026,0.0222,-0.031,0.0694444444444,0.5,1.36388888889
1386186007.86,0.3954,0.4838,0.5604,0.0264,0.0022,0.0226,-0.031,0.0694444444444,0.5,1.36388888889
1386186007.87,0.3954,0.4824,0.5598,0.0258,0.0018,0.0228,-0.0292,0.0944444444444,0.480555555556,1.33611111111
1386186007.87,0.3962,0.4818,0.5594,0.0252,0.0018,0.0226,-0.0292,0.0944444444444,0.480555555556,1.33611111111
1386186007.88,0.3958,0.4828,0.5594,0.0236,0.0008,0.022,-0.029,0.0972222222222,0.483333333333,1.34166666667
1386186007.9,0.3914,0.4844,0.556,0.018,-0.0024,0.0208,-0.029,0.0972222222222,0.483333333333,1.34166666667
1386186007.91,0.391,0.4794,0.554,0.0184,-0.003,0.0216,-0.0304,0.0777777777778,0.480555555556,1.33333333333
1386186007.92,0.3912,0.4786,0.5536,0.0198,-0.0038,0.0212,-0.0304,0.0777777777778,0.480555555556,1.33333333333
1386186007.93,0.3914,0.4816,0.554,0.025,-0.007,0.0192,-0.0308,0.0722222222222,0.475,1.325
1386186007.93,0.392,0.4842,0.5542,0.0282,-0.0088,0.0178,-0.0298,0.0861111111111,0.488888888889,1.34444444444
1386186007.94,0.3932,0.4864,0.553,0.0318,-0.0096,0.0162,-0.0298,0.0861111111111,0.488888888889,1.34444444444
1386186007.95,0.394,0.4892,0.551,0.035,-0.01,0.0142,-0.03,0.0833333333333,0.477777777778,1.34444444444
1386186007.95,0.392,0.4906,0.5516,0.041,-0.0106,0.0126,-0.03,0.0833333333333,0.477777777778,1.34444444444
1386186007.96,0.3914,0.4888,0.553,0.0494,-0.0118,0.0104,-0.03,0.0833333333333,0.477777777778,1.34444444444
1386186007.96,0.3938,0.4862,0.5568,0.0606,-0.0142,0.009,-0.031,0.0694444444444,0.469444444444,1.34722222222
1386186007.97,0.3992,0.485,0.5582,0.0744,-0.0184,0.0082,-0.031,0.0694444444444,0.469444444444,1.34722222222
1386186007.98,0.4032,0.4882,0.5614,0.0886,-0.0248,0.0072,-0.0294,0.0916666666667,0.469444444444,1.33333333333
1386186007.98,0.4036,0.4914,0.5648,0.1014,-0.0318,0.005,-0.0294,0.0916666666667,0.469444444444,1.33333333333
1386186007.99,0.4048,0.4928,0.5666,0.1134,-0.0368,0.003,-0.0298,0.0861111111111,0.455555555556,1.34166666667
1386186008.0,0.4066,0.4966,0.5644,0.1348,-0.0418,-0.0002,-0.0296,0.0888888888889,0.466666666667,1.35
1386186008.01,0.4046,0.4986,0.5652,0.144,-0.0436,0.0004,-0.0296,0.0888888888889,0.466666666667,1.35
1386186008.01,0.404,0.4978,0.5666,0.1534,-0.0434,0.0038,-0.0296,0.0888888888889,0.466666666667,1.35
1386186008.02,0.4046,0.495,0.5662,0.164,-0.041,0.0098,-0.0288,0.1,0.436111111111,1.36666666667
1386186008.02,0.4042,0.4916,0.5656,0.1754,-0.0368,0.0178,-0.0288,0.1,0.436111111111,1.36666666667
