timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1391562105.11,0.0158,0.0194,0.0112,0.3382,0.409,0.819,-1.115117891816921,-1.2510402219140084,0.8377253814147018
1391562105.11,0.0118,0.0222,0.0128,0.3358,0.409,0.8188,-1.1123439667128987,-1.2427184466019416,0.8377253814147018
1391562105.12,0.0062,0.0248,0.0136,0.3348,0.4086,0.819,-1.1123439667128987,-1.2427184466019416,0.8377253814147018
1391562105.12,-0.001,0.0272,0.0138,0.3388,0.4122,0.819,-1.1123439667128987,-1.2427184466019416,0.8377253814147018
1391562105.13,-0.0086,0.0274,0.0132,0.3436,0.415,0.819,-1.1095700416088765,-1.2399445214979194,0.8460471567267683
1391562105.14,-0.0132,0.0242,0.012,0.3448,0.4126,0.819,-1.1095700416088765,-1.2399445214979194,0.8460471567267683
1391562105.14,-0.0142,0.0192,0.01,0.3432,0.4074,0.819,-1.1234396671289875,-1.2565880721220528,0.8349514563106796
1391562105.15,-0.013,0.0148,0.0076,0.3414,0.4044,0.819,-1.1234396671289875,-1.2565880721220528,0.8349514563106796
1391562105.15,-0.0116,0.0116,0.0048,0.3402,0.4038,0.819,-1.1123439667128987,-1.2510402219140084,0.8294036061026352
1391562105.16,-0.0122,0.0098,0.0022,0.3422,0.4054,0.819,-1.1123439667128987,-1.2510402219140084,0.8294036061026352
1391562105.17,-0.014,0.009,-0.0006,0.3486,0.406,0.819,-1.0846047156726768,-1.2454923717059638,0.840499306518724
1391562105.17,-0.018,0.007,-0.0024,0.3546,0.403,0.819,-1.0846047156726768,-1.2454923717059638,0.840499306518724
1391562105.18,-0.021,0.0046,-0.0044,0.3568,0.3992,0.819,-1.1095700416088765,-1.2538141470180306,0.8543689320388349
1391562105.18,-0.0214,0.0032,-0.0056,0.3574,0.3966,0.819,-1.1095700416088765,-1.2538141470180306,0.8543689320388349
1391562105.19,-0.02,0.004,-0.0062,0.3576,0.3958,0.819,-1.1095700416088765,-1.2538141470180306,0.8543689320388349
1391562105.2,-0.0164,0.0072,-0.0066,0.3566,0.395,0.819,-1.0790568654646324,-1.2205270457697641,0.8377253814147018
1391562105.2,-0.0118,0.0124,-0.0064,0.3562,0.395,0.819,-1.0790568654646324,-1.2205270457697641,0.8377253814147018
1391562105.21,-0.0074,0.0196,-0.0056,0.3542,0.3956,0.819,-1.0901525658807212,-1.248266296809986,0.8321775312066574
1391562105.21,-0.0038,0.0276,-0.0044,0.3514,0.3982,0.819,-1.0901525658807212,-1.248266296809986,0.8321775312066574
1391562105.22,-0.0018,0.036,-0.0026,0.3486,0.4012,0.819,-1.1123439667128987,-1.2454923717059638,0.8460471567267683
1391562105.23,-0.0024,0.0438,-0.0008,0.3486,0.4036,0.819,-1.1123439667128987,-1.2454923717059638,0.8460471567267683
1391562105.23,-0.0044,0.0506,0.0008,0.3502,0.4056,0.819,-1.117891816920943,-1.2316227461858529,0.8737864077669902
1391562105.24,-0.0064,0.0562,0.002,0.3504,0.4064,0.819,-1.117891816920943,-1.2316227461858529,0.8737864077669902
1391562105.24,-0.0078,0.0606,0.0032,0.35,0.4062,0.819,-1.117891816920943,-1.2316227461858529,0.8737864077669902
1391562105.25,-0.0084,0.0646,0.0042,0.3488,0.4078,0.819,-1.1289875173370318,-1.2316227461858529,0.8682385575589459
1391562105.26,-0.0092,0.068,0.0048,0.346,0.4126,0.819,-1.1289875173370318,-1.2316227461858529,0.8682385575589459
1391562105.26,-0.0116,0.0692,0.0056,0.3456,0.4172,0.819,-1.1345353675450762,-1.234396671289875,0.8515950069348127
1391562105.27,-0.0164,0.0666,0.0064,0.3494,0.42,0.819,-1.1345353675450762,-1.234396671289875,0.8515950069348127
1391562105.27,-0.0224,0.0598,0.0068,0.3534,0.4186,0.819,-1.1345353675450762,-1.2371705963938973,0.8654646324549237
1391562105.28,-0.0272,0.0498,0.0068,0.3576,0.415,0.819,-1.1345353675450762,-1.2371705963938973,0.8654646324549237
1391562105.29,-0.0282,0.04,0.0062,0.3596,0.4114,0.819,-1.1373092926490984,-1.217753120665742,0.840499306518724
1391562105.29,-0.0252,0.0316,0.0054,0.3592,0.4102,0.819,-1.1373092926490984,-1.217753120665742,0.840499306518724
1391562105.3,-0.019,0.0248,0.0046,0.3566,0.411,0.819,-1.1345353675450762,-1.2510402219140084,0.8460471567267683
1391562105.3,-0.0114,0.0192,0.0038,0.3538,0.411,0.819,-1.1345353675450762,-1.2510402219140084,0.8460471567267683
